user_id,age,age_band,country,city_tier,employment_status,industry,income_band,account_tenure_days
000295594379774ab9ac2c78c946d615,47,45-54,DE,2,self_employed,healthcare,50-75k,119
000aa792d73dd82b16a29692772d395a,61,55+,AT,1,employed_ft,finance,50-75k,134
0011103fe4ba1264342882b7ab98c641,58,55+,FR,1,retired,other,50-75k,109
001679c77c33d7efabf800596fb2a978,53,45-54,DE,2,self_employed,education,50-75k,127
001e72a2f4c4376f10011735dde39cd5,28,25-34,IE,2,employed_ft,healthcare,30-50k,94
001f9baedaf3c8487c344d25b0eda9fc,32,25-34,FR,3,employed_ft,technology,30-50k,103
002244240e165748694a06f8cce13e6d,35,35-44,IE,1,employed_ft,technology,30-50k,127
002ac9e8fe1c2f40d117065851ac7277,45,45-54,FR,3,employed_ft,education,15-30k,141
0031c63ceff3257d599606f8665268d6,49,45-54,DE,2,employed_ft,technology,30-50k,123
0035239d52fb8a82d84422420302f26a,53,45-54,DE,2,employed_pt,finance,50-75k,144
003b0bcbafbaf5971027f95d1d084e77,37,35-44,DE,2,unemployed,other,50-75k,149
003ef334dd92e9a9be337df65eeb87b1,55,55+,DE,2,employed_pt,hospitality,30-50k,156
0046f394f7e57d2387021c1dbbe0ac0b,47,45-54,AT,3,employed_ft,healthcare,30-50k,108
0048233ffb64776094f7b3d390ff1d76,39,35-44,ES,2,employed_ft,technology,30-50k,112
004c53000927f6dd662203e8d0945ce8,34,25-34,IE,2,self_employed,other,50-75k,157
0055be8b144cff505d99fdec39d6c27a,40,35-44,AT,2,self_employed,services,50-75k,169
0061d7639ec45847f10ca06098c40197,43,35-44,DE,2,employed_ft,technology,50-75k,149
00699999ffef13d0f2c48ef109169164,42,35-44,DE,3,self_employed,technology,50-75k,89
008060002c5f4b7f3b78a8979991b652,46,45-54,DE,2,employed_ft,services,30-50k,99
0082dace2f94dbb8a336cd15554005f6,44,35-44,DE,2,self_employed,services,50-75k,119
008b2aef567fb98a07632c3f3361c52f,42,35-44,DE,2,employed_ft,technology,15-30k,106
009d87661e269f4ed5d97d8eaba07c70,26,25-34,DE,2,employed_ft,healthcare,15-30k,85
009f41108caa00c8b9f1da8a7ab43a20,43,35-44,DE,2,employed_ft,retail,50-75k,120
00a016dbd4644314d7ea7d609cc234d8,39,35-44,DE,2,unemployed,other,30-50k,113
00aaabcbbec72479023949db07c22717,37,35-44,AT,2,self_employed,manufacturing,15-30k,147
00b17c6aaf21350c36d9488e1fade4e6,46,45-54,DE,1,retired,other,15-30k,142
00ba9fdb3aa7b679530594757efbe3e2,44,35-44,DE,1,employed_ft,healthcare,50-75k,113
